"id","name","rating","price","original_price","discount","features"
596,"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","4.1","₹7,999","₹15,999","50%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 2021NA"
295,"XElectron 60 cm (24 inch) HD Ready LED TV 2023 Edition","4.2","₹5,999","₹13,999","57%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
296,"Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹22,999","₹35,999","36%","Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
297,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV","4.3","₹13,990","₹24,990","44%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20201 Year Product Warranty Applicable"
298,"Reliance 81.01 cm (32 inch) HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless...","3.8","₹10,199","₹21,490","52%","Operating System: AndroidHD Ready 1366X768 PixelsLaunch Year: 20231 Year Comprehensive Warranty"
299,"XElectron 80 cm (32 inch) HD Ready 3D LED TV 2023 Edition","4.2","₹7,499","₹17,999","58%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
300,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty"
301,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
302,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹31,990","₹47,990","33%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
303,"Mi A Series 80 cm (32 inch) HD Ready LED Smart Google TV 2024 Edition","4.3","₹12,999","₹24,999","48%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Warranty on Product and 1 Year Additional Warranty on Panel"
304,"Dyanora 60 cm (24 inch) HD Ready LED Smart Linux based TV with Noise Reduction, Powerful Audio Box Spe...","4","₹6,999","₹12,499","44%","Operating System: Linux basedHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
305,"Dyanora Sigma 80 cm (32 Inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...","4","₹8,999","₹18,499","51%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
306,"MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹32,999","₹56,790","41%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty"
307,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty"
308,"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","4.1","₹7,999","₹15,999","50%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 2021NA"
309,"Dyanora Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV with 20 Watt Box Speakers","4","₹6,999","₹12,499","44%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2023NA"
310,"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹44,990","₹71,990","37%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
311,"Acer Advanced I Series 102 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...","4.3","₹16,999","₹29,999","43%","Operating System: Google TVFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase"
312,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2024 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,999","₹24,999","52%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
313,"Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...","4.3","₹41,999","₹59,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
314,"SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition","4.4","₹24,499","₹37,900","35%","Operating System: TizenFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
315,"Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...","4.3","₹11,999","₹24,999","52%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
316,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","4.3","₹15,490","₹19,990","22%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
317,"SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design","4.4","₹13,490","₹18,900","28%","Operating System: TizenHD Ready 1366 x 768 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
318,"Dyanora 60 cm (24 Inch) HD Ready LED TV","4.1","₹5,999","₹10,999","45%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Manufacturer Warranty from the Date of Purchase"
319,"XElectron 60 cm (24 inch) HD Ready LED TV 2023 Edition","4.2","₹5,999","₹13,999","57%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
320,"Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹22,999","₹35,999","36%","Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
321,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV","4.3","₹13,990","₹24,990","44%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20201 Year Product Warranty Applicable"
322,"Reliance 81.01 cm (32 inch) HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless...","3.8","₹10,199","₹21,490","52%","Operating System: AndroidHD Ready 1366X768 PixelsLaunch Year: 20231 Year Comprehensive Warranty"
323,"XElectron 80 cm (32 inch) HD Ready 3D LED TV 2023 Edition","4.2","₹7,499","₹17,999","58%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
324,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty"
325,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
326,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹31,990","₹47,990","33%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
327,"Mi A Series 80 cm (32 inch) HD Ready LED Smart Google TV 2024 Edition","4.3","₹12,999","₹24,999","48%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Warranty on Product and 1 Year Additional Warranty on Panel"
328,"Dyanora 60 cm (24 inch) HD Ready LED Smart Linux based TV with Noise Reduction, Powerful Audio Box Spe...","4","₹6,999","₹12,499","44%","Operating System: Linux basedHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
329,"Dyanora Sigma 80 cm (32 Inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...","4","₹8,999","₹18,499","51%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
330,"MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹32,999","₹56,790","41%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty"
331,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty"
332,"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","4.1","₹7,999","₹15,999","50%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 2021NA"
333,"Dyanora Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV with 20 Watt Box Speakers","4","₹6,999","₹12,499","44%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2023NA"
334,"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹44,990","₹71,990","37%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
335,"Acer Advanced I Series 102 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...","4.3","₹16,999","₹29,999","43%","Operating System: Google TVFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase"
336,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2024 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,999","₹24,999","52%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
337,"Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...","4.3","₹41,999","₹59,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
338,"SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition","4.4","₹24,499","₹37,900","35%","Operating System: TizenFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
339,"Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...","4.3","₹11,999","₹24,999","52%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
340,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","4.3","₹15,490","₹19,990","22%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
341,"SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design","4.4","₹13,490","₹18,900","28%","Operating System: TizenHD Ready 1366 x 768 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
342,"Dyanora 60 cm (24 Inch) HD Ready LED TV","4.1","₹5,999","₹10,999","45%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Manufacturer Warranty from the Date of Purchase"
343,"XElectron 60 cm (24 inch) HD Ready LED TV 2023 Edition","4.2","₹5,999","₹13,999","57%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
344,"Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹22,999","₹35,999","36%","Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
345,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV","4.3","₹13,990","₹24,990","44%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20201 Year Product Warranty Applicable"
346,"Reliance 81.01 cm (32 inch) HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless...","3.8","₹10,199","₹21,490","52%","Operating System: AndroidHD Ready 1366X768 PixelsLaunch Year: 20231 Year Comprehensive Warranty"
347,"XElectron 80 cm (32 inch) HD Ready 3D LED TV 2023 Edition","4.2","₹7,499","₹17,999","58%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
348,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty"
349,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
350,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹31,990","₹47,990","33%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
351,"Mi A Series 80 cm (32 inch) HD Ready LED Smart Google TV 2024 Edition","4.3","₹12,999","₹24,999","48%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Warranty on Product and 1 Year Additional Warranty on Panel"
352,"Dyanora 60 cm (24 inch) HD Ready LED Smart Linux based TV with Noise Reduction, Powerful Audio Box Spe...","4","₹6,999","₹12,499","44%","Operating System: Linux basedHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
353,"Dyanora Sigma 80 cm (32 Inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...","4","₹8,999","₹18,499","51%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
354,"MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹32,999","₹56,790","41%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty"
355,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty"
356,"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","4.1","₹7,999","₹15,999","50%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 2021NA"
357,"Dyanora Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV with 20 Watt Box Speakers","4","₹6,999","₹12,499","44%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2023NA"
358,"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹44,990","₹71,990","37%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
359,"Acer Advanced I Series 102 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...","4.3","₹16,999","₹29,999","43%","Operating System: Google TVFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase"
360,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2024 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,999","₹24,999","52%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
361,"Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...","4.3","₹41,999","₹59,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
362,"SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition","4.4","₹24,499","₹37,900","35%","Operating System: TizenFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
363,"Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...","4.3","₹11,999","₹24,999","52%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
364,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","4.3","₹15,490","₹19,990","22%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
365,"SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design","4.4","₹13,490","₹18,900","28%","Operating System: TizenHD Ready 1366 x 768 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
366,"Dyanora 60 cm (24 Inch) HD Ready LED TV","4.1","₹5,999","₹10,999","45%","HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Manufacturer Warranty from the Date of Purchase"
367,"XElectron 60 cm (24 inch) HD Ready LED TV 2023 Edition","4.2","₹5,999","₹13,999","57%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
368,"Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹22,999","₹35,999","36%","Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
369,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV","4.3","₹13,990","₹24,990","44%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20201 Year Product Warranty Applicable"
370,"Reliance 81.01 cm (32 inch) HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless...","3.8","₹10,199","₹21,490","52%","Operating System: AndroidHD Ready 1366X768 PixelsLaunch Year: 20231 Year Comprehensive Warranty"
371,"XElectron 80 cm (32 inch) HD Ready 3D LED TV 2023 Edition","4.2","₹7,499","₹17,999","58%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
372,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty"
373,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
374,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹31,990","₹47,990","33%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
375,"Mi A Series 80 cm (32 inch) HD Ready LED Smart Google TV 2024 Edition","4.3","₹12,999","₹24,999","48%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Warranty on Product and 1 Year Additional Warranty on Panel"
376,"Dyanora 60 cm (24 inch) HD Ready LED Smart Linux based TV with Noise Reduction, Powerful Audio Box Spe...","4","₹6,999","₹12,499","44%","Operating System: Linux basedHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
377,"Dyanora Sigma 80 cm (32 Inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...","4","₹8,999","₹18,499","51%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2022NA"
378,"MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Inbuilt Box Speakers","4.3","₹32,999","₹56,790","41%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty"
379,"iFFALCON by TCL U62 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","4.2","₹37,999","₹1,20,990","68%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20221 Year Warranty"
380,"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","4.1","₹7,999","₹15,999","50%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 2021NA"
381,"Dyanora Sigma 60 cm (24 inch) HD Ready LED Smart Linux TV with 20 Watt Box Speakers","4","₹6,999","₹12,499","44%","Operating System: LinuxHD Ready 1366 x 768 PixelsLaunch Year: 2023NA"
382,"LG UQ7550 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹44,990","₹71,990","37%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
383,"Acer Advanced I Series 102 cm (40 inch) Full HD LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...","4.3","₹16,999","₹29,999","43%","Operating System: Google TVFull HD 1080 x 1920 PixelsLaunch Year: 20231 Year Comprehensive Warranty from the Date of Purchase"
384,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2024 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,999","₹24,999","52%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
385,"Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...","4.3","₹41,999","₹59,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
386,"SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition","4.4","₹24,499","₹37,900","35%","Operating System: TizenFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel"
387,"Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...","4.3","₹11,999","₹24,999","52%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
388,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2023 Edition with a5 AI Processor Gen5, Refresh Rate: 6...","4.3","₹15,490","₹19,990","22%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
389,"SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design","4.4","₹13,490","₹18,900","28%","Operating System: TizenHD Ready 1366 x 768 PixelsLaunch Year: 20221 Year Comprehensive Warranty on Product and 1 Year Additional on Panel"
390,"Dyanora 60 cm (24 Inch) HD Ready LED TV","4.1","₹5,999","₹10,999","45%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Manufacturer Warranty from the Date of Purchase"
391,"XElectron 60 cm (24 inch) HD Ready LED TV 2023 Edition","4.2","₹5,999","₹13,999","57%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
392,"Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with FHD | Dolby Audio | DTS : H...","4.2","₹22,999","₹35,999","36%","Operating System: Google TVFull HD 1920 x 1080 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
393,"LG 80 cm (32 inch) HD Ready LED Smart WebOS TV","4.3","₹13,990","₹24,990","44%","Operating System: WebOSHD Ready 1366 x 768 PixelsLaunch Year: 20201 Year Product Warranty Applicable"
394,"Reliance 81.01 cm (32 inch) HD Ready LED Smart Android TV with Android 12, 24 W Dolby Audio, Frameless...","3.8","₹10,199","₹21,490","52%","Operating System: AndroidHD Ready 1366X768 PixelsLaunch Year: 20231 Year Comprehensive Warranty"
395,"XElectron 80 cm (32 inch) HD Ready 3D LED TV 2023 Edition","4.2","₹7,499","₹17,999","58%","Operating System:HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year warranty from the date of purchase. For more help & support call us at: 8527312304 or mail us at: customercare@xelectron.com"
396,"REDMI 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV 2023 Edition with Dolby Audio & DTS: Virtual X","4.2","₹11,490","₹24,999","54%","Operating System: FireTv OS 7HD Ready 1366 x 768 PixelsLaunch Year: 20231 Year Warranty"
397,"Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision | HDR...","4.3","₹37,999","₹54,999","30%","Operating System: Google TVUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Warranty on Product and 2 Years Warranty on Panel"
398,"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition with a5 Gen5 AI Processor 4K,...","4.4","₹31,990","₹47,990","33%","Operating System: WebOSUltra HD (4K) 3840 x 2160 PixelsLaunch Year: 20231 Year Product Warranty Applicable"
399,"Mi A Series 80 cm (32 inch) HD Ready LED Smart Google TV 2024 Edition","4.3","₹12,999","₹24,999","48%","Operating System: Google TVHD Ready 1366 x 768 PixelsLaunch Year: 20241 Year Warranty on Product and 1 Year Additional Warranty on Panel"
